original_path,output_path,articleurl,status,footer_used
bihu-assam-info.html,bihu-assam-info.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
bihu-assam.html,bihu-assam.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
ganga-sagar-mela.html,ganga-sagar-mela.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
makar-sankranti-blog-photos.html,index.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
makarsankranti-blog.html,makarsankranti-blog.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
makarsankranti-cards.html,makarsankranti-cards.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
makarsankranti-celebrations.html,makarsankranti-celebrations.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
makarsankranti-info.html,makarsankranti-info.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
makarsankranti-main.html,sun-joyful-story.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
makarsankranti-pongal-bihu-uttarayan.html,makarsankranti-pongal-bihu-uttarayan.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
makarsankranti-pongal-celebration.html,makarsankranti-pongal-celebration.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
makarsankranti-significance.html,makarsankranti-significance.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
makarsankranti-taste.html,makarsankranti-taste.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
makarsankranti-wallpapers.html,makarsankranti-wallpapers.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
makarsankranti-webpage.html,makarsankranti-page.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
pongal-festival.html,pongal-festival.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
sankranti-celebration-and-wishes-in-indian-languages.html,sankranti-celebration-and-wishes-in-indian-languages.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
sankranti-harvest-festival.html,sankranti-harvest-festival.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
sankranti-wishes-info.html,sankranti-wishes-info.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
2026\2026-shradh.html,2026\2026-shradh.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
2026\festival-calendar-2026.html,2026\festival-calendar-2026.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
2026\hindu-festivals-2026-festive-theme.html,2026\index.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
2026\pitru-paksha-2026.html,2026\pitru-paksha-2026.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
bihu-festival\bihu-assam-info.html,bihu-festival\bihu-assam-info.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
bihu-festival\bihu-assam.html,bihu-festival\bihu-assam.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
bihu-festival\bihu-info.html,bihu-festival\bihu-info.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
bihu-festival\bihu-theme.html,bihu-festival\bihu-theme.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
bihu-festival\bihu.html,bihu-festival\bihu.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
gangasagar\gagasagar-mela-info.html,gangasagar\gagasagar-mela-info.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
gangasagar\ganga-sagar-mela-significance.html,gangasagar\ganga-sagar-mela-significance.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
